'sample interval','V5','V2'
6330,-0.150,0.060
6331,-0.155,0.060
6332,-0.150,0.070
6333,-0.155,0.065
6334,-0.135,0.040
6335,-0.155,0.040
6336,-0.170,0.025
6337,-0.185,0.025
6338,-0.165,0.040
6339,-0.175,0.030
6340,-0.175,0.025
6341,-0.160,0.000
6342,-0.185,0.010
6343,-0.185,0.015
6344,-0.180,0.015
6345,-0.160,0.020
6346,-0.180,0.020
6347,-0.190,-0.005
6348,-0.190,0.000
6349,-0.205,-0.010
6350,-0.180,0.015
6351,-0.175,0.010
6352,-0.185,0.000
6353,-0.185,-0.015
6354,-0.205,-0.010
6355,-0.190,0.005
6356,-0.190,0.010
6357,-0.180,0.000
6358,-0.190,0.005
6359,-0.185,-0.020
6360,-0.205,-0.025
6361,-0.190,-0.010
6362,-0.185,-0.005
6363,-0.180,-0.005
6364,-0.185,-0.020
6365,-0.180,-0.025
6366,-0.215,-0.020
6367,-0.190,-0.015
6368,-0.190,-0.010
6369,-0.180,-0.015
6370,-0.185,-0.010
6371,-0.200,-0.025
6372,-0.210,-0.020
6373,-0.200,-0.015
6374,-0.200,-0.015
6375,-0.185,-0.010
6376,-0.190,-0.010
6377,-0.200,-0.020
6378,-0.205,-0.020
6379,-0.195,-0.020
6380,-0.195,-0.010
6381,-0.185,-0.010
6382,-0.185,-0.005
6383,-0.195,-0.035
6384,-0.205,-0.030
6385,-0.205,-0.020
6386,-0.200,-0.005
6387,-0.200,-0.010
6388,-0.190,-0.020
6389,-0.200,-0.025
6390,-0.210,-0.020
6391,-0.205,-0.020
6392,-0.205,-0.015
6393,-0.205,-0.015
6394,-0.205,-0.030
6395,-0.220,-0.025
6396,-0.220,-0.040
6397,-0.210,-0.035
6398,-0.200,-0.010
6399,-0.205,-0.020
6400,-0.215,-0.030
6401,-0.215,-0.040
6402,-0.230,-0.045
6403,-0.225,-0.040
6404,-0.220,-0.030
6405,-0.215,-0.040
6406,-0.215,-0.030
6407,-0.240,-0.055
6408,-0.255,-0.040
6409,-0.250,-0.045
6410,-0.235,-0.030
6411,-0.230,-0.035
6412,-0.240,-0.040
6413,-0.240,-0.040
6414,-0.255,-0.055
6415,-0.250,-0.045
6416,-0.240,-0.030
6417,-0.230,-0.035
6418,-0.240,-0.050
6419,-0.250,-0.060
6420,-0.260,-0.060
6421,-0.255,-0.060
6422,-0.245,-0.045
6423,-0.240,-0.045
6424,-0.235,-0.055
6425,-0.250,-0.065
6426,-0.255,-0.060
6427,-0.255,-0.060
6428,-0.255,-0.050
6429,-0.220,-0.035
6430,-0.245,-0.040
6431,-0.255,-0.065
6432,-0.250,-0.060
6433,-0.255,-0.060
6434,-0.235,-0.045
6435,-0.235,-0.045
6436,-0.245,-0.045
6437,-0.250,-0.065
6438,-0.250,-0.050
6439,-0.245,-0.050
6440,-0.235,-0.040
6441,-0.215,-0.030
6442,-0.215,-0.040
6443,-0.215,-0.040
6444,-0.210,-0.050
6445,-0.165,-0.020
6446,-0.095,-0.005
6447,0.095,0.045
6448,0.530,0.250
6449,0.870,0.610
6450,0.670,0.765
6451,0.270,0.565
6452,0.035,0.300
6453,0.035,0.180
6454,0.060,0.165
6455,0.050,0.145
6456,0.015,0.120
6457,-0.005,0.105
6458,-0.005,0.115
6459,-0.005,0.100
6460,-0.005,0.095
6461,-0.005,0.070
6462,-0.025,0.055
6463,-0.030,0.035
6464,-0.030,0.015
6465,-0.025,-0.005
6466,-0.035,-0.025
6467,-0.045,-0.055
6468,-0.070,-0.060
6469,-0.070,-0.050
6470,-0.100,-0.060
6471,-0.115,-0.085
6472,-0.160,-0.110
6473,-0.200,-0.145
6474,-0.240,-0.170
6475,-0.270,-0.180
6476,-0.300,-0.185
6477,-0.365,-0.205
6478,-0.450,-0.210
6479,-0.525,-0.235
6480,-0.585,-0.245
6481,-0.640,-0.250
6482,-0.690,-0.260
6483,-0.745,-0.280
6484,-0.795,-0.310
6485,-0.845,-0.360
6486,-0.885,-0.405
6487,-0.900,-0.445
6488,-0.895,-0.485
6489,-0.900,-0.515
6490,-0.895,-0.535
6491,-0.920,-0.575
6492,-0.920,-0.625
6493,-0.940,-0.650
6494,-0.920,-0.660
6495,-0.900,-0.710
6496,-0.900,-0.750
6497,-0.910,-0.795
6498,-0.885,-0.815
6499,-0.840,-0.850
6500,-0.800,-0.855
6501,-0.745,-0.880
6502,-0.700,-0.865
6503,-0.670,-0.845
6504,-0.645,-0.805
6505,-0.600,-0.760
6506,-0.530,-0.720
6507,-0.480,-0.665
6508,-0.445,-0.630
6509,-0.425,-0.595
6510,-0.415,-0.525
6511,-0.380,-0.470
6512,-0.350,-0.435
6513,-0.335,-0.380
6514,-0.325,-0.365
6515,-0.330,-0.335
6516,-0.330,-0.310
6517,-0.330,-0.280
6518,-0.295,-0.250
6519,-0.280,-0.230
6520,-0.270,-0.210
6521,-0.275,-0.220
6522,-0.280,-0.205
6523,-0.280,-0.180
6524,-0.270,-0.140
6525,-0.265,-0.135
6526,-0.265,-0.120
6527,-0.275,-0.120
6528,-0.290,-0.100
6529,-0.265,-0.075
6530,-0.250,-0.035
6531,-0.220,-0.025
6532,-0.215,-0.015
6533,-0.210,-0.005
6534,-0.220,0.010
6535,-0.210,0.030
6536,-0.195,0.055
6537,-0.170,0.050
6538,-0.160,0.045
6539,-0.155,0.030
6540,-0.155,0.045
6541,-0.155,0.060
6542,-0.145,0.070
6543,-0.140,0.060
6544,-0.130,0.050
6545,-0.140,0.050
6546,-0.140,0.050
6547,-0.145,0.070
6548,-0.140,0.075
6549,-0.120,0.080
6550,-0.115,0.075
6551,-0.125,0.075
6552,-0.130,0.070
6553,-0.120,0.085
6554,-0.110,0.110
6555,-0.105,0.100
6556,-0.100,0.095
6557,-0.105,0.095
6558,-0.105,0.095
6559,-0.110,0.110
6560,-0.090,0.125
6561,-0.080,0.115
6562,-0.085,0.110
6563,-0.095,0.120
6564,-0.100,0.115
6565,-0.085,0.135
6566,-0.075,0.140
6567,-0.075,0.135
6568,-0.060,0.140
6569,-0.080,0.135
6570,-0.075,0.140
6571,-0.080,0.160
6572,-0.070,0.165
6573,-0.050,0.160
6574,-0.055,0.170
6575,-0.055,0.155
6576,-0.070,0.175
6577,-0.055,0.180
6578,-0.045,0.205
6579,-0.045,0.205
6580,-0.040,0.190
6581,-0.045,0.195
6582,-0.055,0.190
6583,-0.050,0.205
6584,-0.040,0.215
6585,-0.030,0.215
6586,-0.025,0.225
6587,-0.040,0.225
6588,-0.045,0.220
6589,-0.045,0.235
6590,-0.025,0.255
6591,-0.010,0.235
6592,-0.005,0.255
6593,-0.010,0.250
6594,-0.030,0.250
6595,-0.015,0.255
6596,-0.015,0.280
6597,-0.010,0.275
6598,-0.005,0.265
6599,0.000,0.250
6600,-0.010,0.255
6601,-0.010,0.260
6602,0.000,0.275
6603,0.015,0.260
6604,0.000,0.260
6605,-0.005,0.245
6606,-0.020,0.245
6607,-0.010,0.250
6608,-0.015,0.260
6609,-0.010,0.250
6610,-0.005,0.250
6611,-0.020,0.230
6612,-0.035,0.230
6613,-0.040,0.225
6614,-0.035,0.245
6615,-0.035,0.220
6616,-0.045,0.205
6617,-0.055,0.195
6618,-0.080,0.190
6619,-0.075,0.190
6620,-0.085,0.190
6621,-0.090,0.175
6622,-0.105,0.150
6623,-0.115,0.145
6624,-0.125,0.140
6625,-0.130,0.135
6626,-0.135,0.135
6627,-0.125,0.115
6628,-0.135,0.110
6629,-0.145,0.095
6630,-0.150,0.085
6631,-0.160,0.080
6632,-0.155,0.080
6633,-0.155,0.085
6634,-0.155,0.075
6635,-0.165,0.060
6636,-0.180,0.050
6637,-0.180,0.045
6638,-0.180,0.060
6639,-0.175,0.040
6640,-0.175,0.040
6641,-0.190,0.025
6642,-0.200,0.015
6643,-0.195,0.025
6644,-0.185,0.030
6645,-0.185,0.025
6646,-0.190,0.010
6647,-0.190,0.010
6648,-0.215,0.000
6649,-0.200,0.020
6650,-0.200,0.030
6651,-0.190,0.030
6652,-0.190,0.035
6653,-0.210,0.000
6654,-0.215,-0.005
6655,-0.210,0.000
6656,-0.205,0.010
6657,-0.195,0.000
6658,-0.205,0.000
6659,-0.220,-0.010
6660,-0.225,0.000
6661,-0.220,0.020
6662,-0.225,0.025
6663,-0.215,0.025
6664,-0.220,0.010
6665,-0.230,-0.015
6666,-0.240,-0.020
6667,-0.235,-0.015
6668,-0.230,-0.010
6669,-0.235,-0.015
6670,-0.230,-0.010
6671,-0.250,-0.015
6672,-0.265,-0.020
6673,-0.255,-0.010
6674,-0.245,0.010
6675,-0.245,0.020
6676,-0.245,0.040
6677,-0.255,0.060
6678,-0.265,0.035
6679,-0.260,0.015
6680,-0.245,-0.030
6681,-0.250,-0.050
6682,-0.255,-0.060
6683,-0.265,-0.055
6684,-0.280,-0.040
6685,-0.260,-0.045
6686,-0.275,-0.040
6687,-0.255,-0.035
6688,-0.275,-0.045
6689,-0.275,-0.065
6690,-0.285,-0.055
6691,-0.295,-0.050
6692,-0.285,-0.040
6693,-0.280,-0.040
6694,-0.280,-0.035
6695,-0.300,-0.065
6696,-0.305,-0.055
6697,-0.300,-0.055
6698,-0.295,-0.055
6699,-0.290,-0.050
6700,-0.295,-0.055
6701,-0.295,-0.070
6702,-0.315,-0.080
6703,-0.315,-0.065
6704,-0.315,-0.050
6705,-0.300,-0.060
6706,-0.295,-0.065
6707,-0.305,-0.070
6708,-0.310,-0.080
6709,-0.310,-0.075
6710,-0.300,-0.065
6711,-0.295,-0.070
6712,-0.305,-0.075
6713,-0.315,-0.090
6714,-0.325,-0.085
6715,-0.320,-0.070
6716,-0.315,-0.075
6717,-0.305,-0.075
6718,-0.305,-0.070
6719,-0.310,-0.085
6720,-0.320,-0.085
6721,-0.315,-0.085
6722,-0.305,-0.065
6723,-0.290,-0.065
6724,-0.300,-0.075
6725,-0.300,-0.090
6726,-0.310,-0.090
6727,-0.305,-0.080
6728,-0.295,-0.060
6729,-0.290,-0.085
6730,-0.295,-0.070
6731,-0.295,-0.085
6732,-0.300,-0.090
6733,-0.295,-0.075
6734,-0.280,-0.065
6735,-0.275,-0.070
6736,-0.270,-0.075
6737,-0.265,-0.070
6738,-0.270,-0.065
6739,-0.210,-0.040
6740,-0.125,-0.020
6741,0.120,0.080
6742,0.570,0.340
6743,0.820,0.695
6744,0.565,0.755
6745,0.165,0.480
6746,-0.010,0.245
6747,-0.005,0.155
6748,0.020,0.125
6749,0.000,0.105
6750,-0.040,0.090
6751,-0.060,0.090
6752,-0.070,0.100
6753,-0.055,0.075
6754,-0.050,0.030
6755,-0.055,-0.005
6756,-0.075,-0.040
6757,-0.075,-0.050
6758,-0.075,-0.060
6759,-0.070,-0.095
6760,-0.085,-0.100
6761,-0.100,-0.125
6762,-0.130,-0.150
6763,-0.135,-0.140
6764,-0.150,-0.150
6765,-0.175,-0.165
6766,-0.210,-0.190
6767,-0.245,-0.215
6768,-0.300,-0.230
6769,-0.330,-0.240
6770,-0.380,-0.235
6771,-0.435,-0.265
6772,-0.535,-0.275
6773,-0.625,-0.305
6774,-0.695,-0.310
6775,-0.730,-0.315
6776,-0.775,-0.310
6777,-0.815,-0.335
6778,-0.880,-0.365
6779,-0.945,-0.410
6780,-0.985,-0.465
6781,-1.015,-0.510
6782,-1.015,-0.540
6783,-1.010,-0.550
6784,-1.025,-0.570
6785,-1.035,-0.595
6786,-1.055,-0.635
6787,-1.050,-0.700
6788,-1.040,-0.750
6789,-1.045,-0.800
6790,-1.025,-0.835
6791,-1.015,-0.845
6792,-0.995,-0.885
6793,-0.955,-0.905
6794,-0.910,-0.910
6795,-0.855,-0.925
6796,-0.785,-0.920
6797,-0.750,-0.885
6798,-0.720,-0.835
6799,-0.660,-0.790
6800,-0.605,-0.730
6801,-0.550,-0.675
6802,-0.505,-0.625
6803,-0.475,-0.580
6804,-0.470,-0.515
6805,-0.435,-0.455
6806,-0.410,-0.400
6807,-0.395,-0.360
6808,-0.385,-0.350
6809,-0.375,-0.330
6810,-0.375,-0.310
6811,-0.355,-0.280
6812,-0.330,-0.250
6813,-0.295,-0.240
6814,-0.285,-0.225
6815,-0.290,-0.230
6816,-0.290,-0.215
6817,-0.280,-0.190
6818,-0.270,-0.160
6819,-0.265,-0.145
6820,-0.255,-0.135
6821,-0.255,-0.115
6822,-0.250,-0.090
6823,-0.230,-0.060
6824,-0.215,-0.020
6825,-0.195,-0.005
6826,-0.180,0.000
6827,-0.175,0.005
6828,-0.165,0.020
6829,-0.135,0.025
6830,-0.120,0.045
6831,-0.105,0.040
6832,-0.090,0.040
6833,-0.115,0.035
6834,-0.120,0.025
6835,-0.125,0.045
6836,-0.130,0.050
6837,-0.125,0.045
6838,-0.120,0.035
6839,-0.130,0.030
6840,-0.145,0.035
6841,-0.145,0.045
6842,-0.130,0.050
6843,-0.125,0.060
6844,-0.130,0.045
6845,-0.140,0.040
6846,-0.150,0.045
6847,-0.135,0.065
6848,-0.130,0.070
6849,-0.115,0.075
6850,-0.120,0.070
6851,-0.125,0.070
6852,-0.135,0.075
6853,-0.110,0.095
6854,-0.115,0.100
6855,-0.100,0.095
6856,-0.100,0.095
6857,-0.110,0.105
6858,-0.120,0.100
6859,-0.100,0.115
6860,-0.095,0.115
6861,-0.080,0.120
6862,-0.085,0.125
6863,-0.085,0.120
6864,-0.100,0.125
6865,-0.085,0.140
6866,-0.070,0.140
6867,-0.060,0.135
6868,-0.050,0.150
6869,-0.070,0.155
6870,-0.075,0.170
6871,-0.070,0.175
6872,-0.060,0.190
6873,-0.055,0.180
6874,-0.040,0.200
6875,-0.035,0.200
6876,-0.045,0.200
6877,-0.045,0.215
6878,-0.025,0.235
6879,-0.025,0.225
6880,-0.025,0.230
6881,-0.030,0.220
6882,-0.045,0.230
6883,-0.030,0.235
6884,-0.015,0.260
6885,0.000,0.250
6886,-0.015,0.250
6887,-0.010,0.245
6888,-0.025,0.245
6889,-0.020,0.255
6890,-0.005,0.260
6891,-0.010,0.255
6892,-0.020,0.245
6893,-0.025,0.225
6894,-0.050,0.220
6895,-0.035,0.230
6896,-0.030,0.235
6897,-0.030,0.225
6898,-0.040,0.225
6899,-0.055,0.210
6900,-0.070,0.200
6901,-0.080,0.210
6902,-0.085,0.205
6903,-0.060,0.190
6904,-0.075,0.170
6905,-0.080,0.155
6906,-0.105,0.145
6907,-0.105,0.165
6908,-0.115,0.150
6909,-0.105,0.130
6910,-0.130,0.125
6911,-0.145,0.110
6912,-0.160,0.105
6913,-0.145,0.115
6914,-0.140,0.090
6915,-0.150,0.090
6916,-0.170,0.075
6917,-0.180,0.060
6918,-0.190,0.055
6919,-0.195,0.065
6920,-0.185,0.065
6921,-0.190,0.075
6922,-0.210,0.055
6923,-0.225,0.025
6924,-0.240,0.005
6925,-0.235,0.005
6926,-0.235,0.005
6927,-0.225,-0.005
6928,-0.220,-0.005
6929,-0.230,-0.015
6930,-0.245,0.000
6931,-0.250,-0.010
6932,-0.240,-0.005
6933,-0.235,-0.005
6934,-0.240,-0.020
6935,-0.245,-0.015
6936,-0.255,-0.025
6937,-0.260,-0.015
6938,-0.265,-0.015
6939,-0.255,-0.025
6940,-0.255,-0.015
6941,-0.255,-0.025
6942,-0.275,-0.030
6943,-0.275,-0.025
6944,-0.275,-0.020
6945,-0.260,-0.020
6946,-0.270,-0.025
6947,-0.280,-0.035
6948,-0.285,-0.025
6949,-0.290,-0.020
6950,-0.285,-0.015
6951,-0.275,-0.025
6952,-0.275,-0.025
6953,-0.275,-0.025
6954,-0.300,-0.040
6955,-0.285,-0.030
6956,-0.275,-0.025
6957,-0.290,-0.030
6958,-0.290,-0.035
6959,-0.285,-0.040
6960,-0.300,-0.040
6961,-0.290,-0.025
6962,-0.295,-0.025
6963,-0.285,-0.020
6964,-0.300,-0.040
6965,-0.325,-0.050
6966,-0.325,-0.045
6967,-0.320,-0.035
6968,-0.310,-0.025
6969,-0.290,-0.025
6970,-0.300,-0.040
6971,-0.300,-0.060
6972,-0.325,-0.050
6973,-0.325,-0.035
6974,-0.315,-0.025
6975,-0.315,-0.035
6976,-0.315,-0.055
6977,-0.320,-0.060
6978,-0.335,-0.065
6979,-0.345,-0.045
6980,-0.335,-0.030
6981,-0.335,-0.055
6982,-0.330,-0.065
6983,-0.345,-0.070
6984,-0.350,-0.070
6985,-0.350,-0.050
6986,-0.345,-0.055
6987,-0.345,-0.045
6988,-0.350,-0.070
6989,-0.350,-0.070
6990,-0.360,-0.055
6991,-0.370,-0.055
6992,-0.365,-0.040
6993,-0.355,-0.065
6994,-0.355,-0.065
6995,-0.365,-0.080
6996,-0.385,-0.075
6997,-0.375,-0.090
6998,-0.365,-0.075
6999,-0.360,-0.075
7000,-0.355,-0.075
7001,-0.385,-0.095
7002,-0.390,-0.080
7003,-0.385,-0.085
7004,-0.390,-0.075
7005,-0.375,-0.070
7006,-0.385,-0.080
7007,-0.390,-0.085
7008,-0.400,-0.090
7009,-0.385,-0.085
7010,-0.370,-0.080
7011,-0.360,-0.075
7012,-0.360,-0.095
7013,-0.375,-0.080
7014,-0.400,-0.100
7015,-0.405,-0.090
7016,-0.395,-0.075
7017,-0.380,-0.080
7018,-0.375,-0.085
7019,-0.370,-0.090
7020,-0.370,-0.095
7021,-0.365,-0.095
7022,-0.360,-0.080
7023,-0.380,-0.085
7024,-0.385,-0.090
7025,-0.390,-0.100
7026,-0.400,-0.110
7027,-0.395,-0.090
7028,-0.380,-0.075
7029,-0.365,-0.080
7030,-0.355,-0.085
7031,-0.350,-0.095
7032,-0.370,-0.085
7033,-0.355,-0.080
7034,-0.325,-0.070
7035,-0.295,-0.060
7036,-0.260,-0.060
7037,-0.155,-0.035
7038,0.060,0.025
7039,0.495,0.260
7040,0.825,0.620
7041,0.675,0.795
7042,0.225,0.585
7043,-0.040,0.290
7044,-0.115,0.155
7045,-0.075,0.140
7046,-0.070,0.145
7047,-0.090,0.110
7048,-0.110,0.070
7049,-0.145,0.055
7050,-0.160,0.050
7051,-0.150,0.030
7052,-0.140,0.030
7053,-0.130,-0.005
7054,-0.135,-0.030
7055,-0.145,-0.075
7056,-0.170,-0.095
7057,-0.175,-0.125
7058,-0.185,-0.140
7059,-0.195,-0.165
7060,-0.205,-0.185
7061,-0.215,-0.205
7062,-0.250,-0.225
7063,-0.270,-0.225
7064,-0.310,-0.230
7065,-0.340,-0.265
7066,-0.385,-0.280
7067,-0.425,-0.320
7068,-0.485,-0.345
7069,-0.575,-0.355
7070,-0.660,-0.350
7071,-0.735,-0.370
7072,-0.800,-0.375
7073,-0.855,-0.395
7074,-0.915,-0.390
7075,-0.975,-0.405
7076,-1.015,-0.405
7077,-1.055,-0.450
7078,-1.075,-0.500
7079,-1.080,-0.550
7080,-1.120,-0.590
7081,-1.135,-0.620
7082,-1.145,-0.620
7083,-1.145,-0.640
7084,-1.150,-0.670
7085,-1.150,-0.705
7086,-1.155,-0.740
7087,-1.145,-0.760
7088,-1.130,-0.760
7089,-1.100,-0.795
7090,-1.075,-0.840
7091,-1.040,-0.870
7092,-0.990,-0.900
7093,-0.935,-0.900
7094,-0.880,-0.870
7095,-0.830,-0.850
7096,-0.790,-0.825
7097,-0.740,-0.785
7098,-0.690,-0.740
7099,-0.645,-0.670
7100,-0.600,-0.600
7101,-0.570,-0.545
7102,-0.555,-0.495
7103,-0.525,-0.435
7104,-0.500,-0.395
7105,-0.475,-0.335
7106,-0.460,-0.275
7107,-0.465,-0.240
7108,-0.475,-0.220
7109,-0.460,-0.215
7110,-0.445,-0.200
7111,-0.425,-0.155
7112,-0.410,-0.100
7113,-0.405,-0.040
7114,-0.425,0.020
7115,-0.435,0.040
7116,-0.435,-0.040
7117,-0.420,-0.090
7118,-0.415,-0.110
7119,-0.385,-0.080
7120,-0.370,-0.050
7121,-0.360,-0.025
7122,-0.365,-0.005
7123,-0.360,0.025
7124,-0.340,0.040
7125,-0.305,0.055
7126,-0.295,0.060
7127,-0.295,0.070
7128,-0.310,0.070
7129,-0.290,0.075
7130,-0.260,0.090
7131,-0.245,0.085
7132,-0.260,0.085
7133,-0.270,0.075
7134,-0.275,0.090
7135,-0.265,0.115
7136,-0.250,0.130
7137,-0.260,0.120
7138,-0.260,0.120
7139,-0.285,0.115
7140,-0.255,0.125
7141,-0.230,0.145
7142,-0.245,0.165
7143,-0.230,0.180
7144,-0.225,0.175
7145,-0.240,0.180
7146,-0.235,0.170
7147,-0.225,0.185
7148,-0.210,0.200
7149,-0.205,0.200
7150,-0.210,0.210
7151,-0.225,0.210
7152,-0.210,0.235
7153,-0.205,0.240
7154,-0.185,0.225
7155,-0.180,0.230
7156,-0.190,0.210
7157,-0.175,0.220
7158,-0.150,0.235
7159,-0.160,0.245
7160,-0.165,0.245
7161,-0.145,0.250
7162,-0.125,0.250
7163,-0.115,0.235
7164,-0.130,0.245
7165,-0.125,0.275
7166,-0.105,0.295
7167,-0.090,0.305
7168,-0.090,0.320
7169,-0.095,0.325
7170,-0.095,0.345
7171,-0.060,0.365
7172,-0.040,0.390
7173,0.005,0.385
7174,0.015,0.405
7175,0.015,0.375
7176,-0.005,0.335
7177,-0.005,0.300
7178,-0.020,0.285
7179,-0.040,0.290
7180,-0.055,0.300
7181,-0.060,0.305
7182,-0.060,0.310
7183,-0.060,0.310
7184,-0.055,0.310
7185,-0.075,0.300
7186,-0.125,0.310
7187,-0.125,0.300
7188,-0.130,0.280
7189,-0.110,0.270
7190,-0.105,0.255
7191,-0.110,0.245
7192,-0.120,0.240
7193,-0.120,0.235
7194,-0.130,0.220
7195,-0.125,0.225
7196,-0.145,0.220
7197,-0.160,0.205
7198,-0.165,0.200
7199,-0.185,0.195
7200,-0.185,0.170
7201,-0.170,0.165
7202,-0.190,0.160
7203,-0.195,0.145
7204,-0.210,0.130
7205,-0.240,0.110
7206,-0.235,0.115
7207,-0.240,0.125
7208,-0.220,0.165
7209,-0.220,0.170
7210,-0.235,0.155
7211,-0.250,0.120
7212,-0.275,0.080
7213,-0.265,0.060
7214,-0.250,0.055
7215,-0.250,0.035
7216,-0.250,0.020
7217,-0.250,0.000
7218,-0.265,0.010
7219,-0.250,0.010
7220,-0.255,0.025
7221,-0.235,0.030
7222,-0.245,0.040
7223,-0.265,0.040
7224,-0.265,0.015
7225,-0.265,-0.010
7226,-0.255,-0.005
7227,-0.250,0.010
7228,-0.265,-0.025
7229,-0.270,-0.020
7230,-0.265,-0.020
7231,-0.255,0.005
7232,-0.245,0.030
7233,-0.235,0.020
7234,-0.250,-0.005
7235,-0.260,-0.015
7236,-0.270,-0.040
7237,-0.275,-0.040
7238,-0.275,-0.045
7239,-0.290,-0.050
7240,-0.270,-0.055
7241,-0.265,-0.065
7242,-0.280,-0.055
7243,-0.285,-0.030
7244,-0.270,-0.020
7245,-0.260,-0.035
7246,-0.270,-0.040
7247,-0.290,-0.050
7248,-0.315,-0.045
7249,-0.315,-0.035
7250,-0.305,-0.020
7251,-0.290,-0.020
7252,-0.290,-0.035
7253,-0.310,-0.040
7254,-0.315,-0.030
7255,-0.305,-0.025
7256,-0.295,-0.015
7257,-0.280,-0.040
7258,-0.305,-0.035
7259,-0.310,-0.040
7260,-0.310,-0.035
7261,-0.320,-0.030
7262,-0.310,-0.030
7263,-0.310,-0.040
7264,-0.320,-0.060
7265,-0.320,-0.060
7266,-0.320,-0.050
7267,-0.310,-0.045
7268,-0.305,-0.020
7269,-0.315,-0.035
7270,-0.320,-0.050
7271,-0.335,-0.070
7272,-0.340,-0.075
7273,-0.335,-0.065
7274,-0.325,-0.045
7275,-0.310,-0.045
7276,-0.315,-0.055
7277,-0.345,-0.065
7278,-0.375,-0.065
7279,-0.370,-0.065
7280,-0.355,-0.055
7281,-0.345,-0.065
7282,-0.350,-0.080
7283,-0.365,-0.080
7284,-0.365,-0.065
7285,-0.365,-0.055
7286,-0.330,-0.065
7287,-0.325,-0.075
7288,-0.335,-0.080
7289,-0.340,-0.080
7290,-0.360,-0.075
7291,-0.350,-0.065
7292,-0.345,-0.060
7293,-0.315,-0.060
7294,-0.320,-0.070
7295,-0.325,-0.080
7296,-0.355,-0.080
7297,-0.350,-0.080
7298,-0.360,-0.070
7299,-0.370,-0.060
7300,-0.380,-0.080
7301,-0.395,-0.100
7302,-0.400,-0.105
7303,-0.395,-0.085
7304,-0.385,-0.065
7305,-0.380,-0.065
7306,-0.390,-0.060
7307,-0.405,-0.075
7308,-0.415,-0.075
7309,-0.405,-0.070
7310,-0.375,-0.050
7311,-0.350,-0.050
7312,-0.350,-0.060
7313,-0.375,-0.060
7314,-0.370,-0.055
7315,-0.365,-0.055
7316,-0.355,-0.045
7317,-0.360,-0.065
7318,-0.365,-0.065
7319,-0.360,-0.055
7320,-0.360,-0.060
7321,-0.355,-0.045
7322,-0.370,-0.040
7323,-0.375,-0.035
7324,-0.350,-0.015
7325,-0.340,-0.025
7326,-0.290,-0.025
7327,-0.225,0.000
7328,-0.100,0.050
7329,0.200,0.200
7330,0.650,0.530
7331,0.760,0.840
7332,0.410,0.750
7333,0.050,0.455
7334,-0.110,0.265
7335,-0.075,0.200
7336,-0.030,0.185
7337,-0.045,0.160
7338,-0.090,0.140
7339,-0.095,0.115
7340,-0.100,0.120
7341,-0.090,0.120
7342,-0.085,0.110
7343,-0.095,0.085
7344,-0.115,0.055
7345,-0.115,0.055
7346,-0.135,0.025
7347,-0.125,0.015
7348,-0.135,-0.020
7349,-0.155,-0.070
7350,-0.175,-0.095
7351,-0.200,-0.100
7352,-0.220,-0.120
7353,-0.240,-0.125
7354,-0.275,-0.150
7355,-0.315,-0.175
7356,-0.345,-0.195
7357,-0.400,-0.215
7358,-0.470,-0.205
7359,-0.560,-0.215
7360,-0.640,-0.220
7361,-0.700,-0.245
7362,-0.750,-0.255
7363,-0.785,-0.260
7364,-0.850,-0.270
7365,-0.900,-0.320
7366,-0.945,-0.385
7367,-0.970,-0.445
7368,-0.980,-0.495
7369,-0.945,-0.505
7370,-0.930,-0.515
7371,-0.960,-0.525
7372,-1.020,-0.580
7373,-1.070,-0.635
7374,-1.085,-0.670
7375,-1.045,-0.695
7376,-1.000,-0.715
7377,-0.970,-0.755
7378,-0.925,-0.805
7379,-0.885,-0.835
7380,-0.825,-0.830
7381,-0.770,-0.795
7382,-0.705,-0.725
7383,-0.665,-0.695
7384,-0.610,-0.645
7385,-0.560,-0.600
7386,-0.540,-0.555
7387,-0.500,-0.465
7388,-0.480,-0.395
7389,-0.465,-0.335
7390,-0.465,-0.300
7391,-0.455,-0.250
7392,-0.445,-0.215
7393,-0.405,-0.180
7394,-0.390,-0.150
7395,-0.380,-0.125
7396,-0.370,-0.125
7397,-0.370,-0.120
7398,-0.375,-0.120
7399,-0.380,-0.095
7400,-0.365,-0.060
7401,-0.375,-0.035
7402,-0.380,-0.015
7403,-0.390,0.010
7404,-0.390,0.025
7405,-0.350,0.035
7406,-0.330,0.050
7407,-0.310,0.050
7408,-0.310,0.060
7409,-0.320,0.095
7410,-0.305,0.085
7411,-0.275,0.105
7412,-0.245,0.115
7413,-0.235,0.120
7414,-0.235,0.115
7415,-0.240,0.125
7416,-0.250,0.125
7417,-0.260,0.135
7418,-0.265,0.145
7419,-0.250,0.155
7420,-0.235,0.160
7421,-0.225,0.160
7422,-0.235,0.170
7423,-0.240,0.175
7424,-0.230,0.170
7425,-0.235,0.170
7426,-0.235,0.175
7427,-0.235,0.170
7428,-0.230,0.170
7429,-0.215,0.185
7430,-0.195,0.190
7431,-0.205,0.195
7432,-0.225,0.195
7433,-0.225,0.195
7434,-0.235,0.215
7435,-0.240,0.225
7436,-0.230,0.245
7437,-0.215,0.230
7438,-0.190,0.225
7439,-0.150,0.240
7440,-0.140,0.255
7441,-0.105,0.270
7442,-0.120,0.280
7443,-0.155,0.270
7444,-0.180,0.260
